Question,Products_name
Чай Зеленый 0.3,"[""Чай Зеленый 0.3""]"
грибная пицца с курицей на троих,"[""Пицца Жюльен Medium""]"
"грибная, пперони и с курятиной","[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Цыпленок карри Small""]"
Сок Rich Апельсин 0.3,"[""Сок Rich Апельсин 0.3""]"
"гавайская это пицца с ананасами, но без лука и с фирменный соус альфредо","[""Гавайская с альфредо Large""]"
пару бутеров,"[""Дэнвич ветчина и сыр"",""Дэнвич чоризо барбекю""]"
Палочки с манго и ананасами,"[""Слоеные палочки с соусом манго и ананасами 8.0""]"
сделай обед для настоящего мужчины,"[""Маффин Три шоколада"",""Пепперони Фреш Large""]"
хочу позавтракать с кофе,"[""Кофе Латте 0.4"",""Малиновое варенье"",""Сырники с малиновым вареньем""]"
Палочки с ананасами и шоколадом,"[""Слоеные палочки с ананасами и шоколадным соусом 8.0""]"
позавтракать без пиццы,"[""Малиновое варенье"",""Сырники с малиновым вареньем""]"
1 with cheese and one with ham,"[""Ветчина и сыр Small"",""Сырная Medium""]"
Кус Мясо и овощи Римская (4 кусочка),"[""Кус Мясо и овощи Римская (4 кусочка)""]"
Бля 1000 домашних птицц сука,"[""Домашняяl""]"
сырники с малиной,"[""Сырники с малиновым вареньем 130.0""]"
Какао 0.3,"[""Какао 0.3""]"
water,"[""Вода БонаАква негазированная  0.5""]"
"Можно пожалуйста додстер, большую картошку из печи, сырные с чесноком, один соус додо и один чесночный","[""Додстер"",""Картофель из печи с сырным соусом Big"",""Сырные палочки с чесноком"",""Сырный соус Додо"",""Чесночный соус ""]"
"""томатный соус"",""цыпленок"",""бекон"",""красный лук"",""моцарелла"",""соус Барбекю"",""смесь сыров чеддер и пармезан"",""блю чиз"",""альфредо""","[""Цыпленок барбекю Medium"",""Четыре сыра Medium""]"
с мясом какую нибудь,"[""Цыпленок ранч Small""]"
что-то для двух детей,"[""Двойной цыпленок Small"",""Пицца Миксик Small""]"
обычный коктейль,"[""Коктейль Классический 0.3""]"
Можно 8 пицц и напиток,"[""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Добрый Кола Big"",""Пепперони Фреш Medium"",""Сырная Medium"",""Чоризо фреш Medium"",""Чоризо фреш Small""]"
добавь соусы вкусные,"[""Барбекю соус Додо"",""Сырный соус Додо""]"
Коктейль Классический 0.3,"[""Коктейль Классический 0.3""]"
Кофе Карамельный Капучино 0.2,"[""Кофе Карамельный Капучино 0.2""]"
чутка поесть и сладкое,"[""Додстер"",""Чизкейк Нью-Йорк (новая упаковка)""]"
мы голодные и хотим несколько пицц с курицей и сыром,"[""Двойной цыпленок Medium"",""Пепперони Фреш Medium"",""Сырная Medium""]"
острую и одну песто,"[""Диабло Medium"",""Песто Medium""]"
Бургер-пицца Large,"[""Бургер-пицца Large""]"
маленькую порцию пирожных со сгущенкой и брусникой,"[""Бруслетики 130.0""]"
сырники с малиной,"[""Сырники с малиновым вареньем 260.0""]"
пицца без лука и овощей для ребенка и куриный перекус для жены (женщины),"[""Двойной цыпленок Medium"",""Салат Цезарь со смесью сыров (трекинг)""]"
Кус Песто (половинка),"[""Кус Песто (половинка)""]"
"гавайская и домашная, обе среднии","[""Гавайская с альфредо Medium"",""Домашняя Medium""]"
Деревенская с бужениной Medium,"[""Деревенская с бужениной Medium""]"
"картошка фри, одна порция","[""Картофель из печи""]"
дай мне попробовать все четыре вида сыра за один раз,"[""Чесночный соус "",""Четыре сыра Small""]"
что-нибудь с курицей пару пицц соус есть 2000 рублей,"[""Ланчбокс с куриными кусочками"",""Пепперони Фреш Medium"",""Сырная Medium"",""Сырный соус Додо"",""Чоризо фреш Medium""]"
